CMDLINE /Users/catalina/.pyenv/versions/3.10.8/bin/python q1_time.py
MEM 0.105469 1710702673.8991
MEM 14.656250 1710702674.0040
MEM 23.148438 1710702674.1076
MEM 30.535156 1710702674.2108
MEM 36.339844 1710702674.3159
MEM 36.875000 1710702674.4172
