CMDLINE /Users/catalina/.pyenv/versions/3.10.8/bin/python q3_memory.py
MEM 0.105469 1710702708.1123
MEM 13.835938 1710702708.2127
MEM 22.210938 1710702708.3139
MEM 29.699219 1710702708.4181
MEM 35.710938 1710702708.5233
MEM 37.062500 1710702708.6257
