CMDLINE /Users/catalina/.pyenv/versions/3.10.8/bin/python q1_memory.py
MEM 0.105469 1710702680.7957
MEM 13.839844 1710702680.9005
MEM 21.460938 1710702681.0011
MEM 28.828125 1710702681.1016
MEM 35.343750 1710702681.2019
