CMDLINE /Users/catalina/.pyenv/versions/3.10.8/bin/python q3_time.py
MEM 0.105469 1710702701.3198
MEM 13.339844 1710702701.4202
MEM 20.128906 1710702701.5231
MEM 28.507812 1710702701.6233
MEM 35.070312 1710702701.7237
MEM 36.808594 1710702701.8286
